"locdisplayid","agentinvoice_invid","agentinvoice_finidn","agentinvoice_productid","sales_type","totalcount","amount"
"001415","2946","0501",23,"119",0,"0.97008987100"
"001415","2946","0501",66,"119",0,"0.95835005400"
"001415","2946","0501",66,"119",0,"0.96024559600"
"001415","2946","0501",66,"119",0,"0.96224708900"
"001415","2946","0501",66,"119",0,"0.96798352400"
"001415","2946","0501",66,"119",0,"0.97008987100"
"001415","2946","0501",71,"119",0,"0.95835005400"
"001415","2946","0501",71,"119",0,"0.96024559600"
"001415","2946","0501",71,"119",0,"0.96224708900"
"001415","2946","0501",71,"119",0,"0.96798352400"
"001415","2946","0501",71,"119",0,"0.97008987100"
"001417","2946","0201",9,"119",0,"0.96532110100"
"001417","2946","0201",9,"119",0,"0.97184403700"
"001417","2946","0201",11,"119",0,"0.95903014400"
"001417","2946","0201",23,"119",0,"0.95835005400"
"001417","2946","0201",23,"119",0,"0.96024559600"
"001417","2946","0201",23,"119",0,"0.96224708900"
"001417","2946","0201",23,"119",0,"0.96798352400"
"001417","2946","0201",23,"119",0,"0.97008987100"
"001417","2946","0201",66,"119",0,"0.95835005400"
"001417","2946","0201",66,"119",0,"0.96024559600"
"001417","2946","0201",66,"119",0,"0.96224708900"
"001417","2946","0201",66,"119",0,"0.96798352400"
"001417","2946","0201",66,"119",0,"0.97008987100"
"001417","2946","0201",71,"119",0,"0.95835005400"
"001417","2946","0201",71,"119",0,"0.96024559600"
"001417","2946","0201",71,"119",0,"0.96224708900"
"001417","2946","0201",71,"119",0,"0.96798352400"
"001417","2946","0201",71,"119",0,"0.97008987100"
"001418","2946","0601",9,"119",0,"0.96532110100"
"001418","2946","0601",9,"119",0,"0.97184403700"
"001418","2946","0601",11,"119",0,"0.95903014400"
"001418","2946","0601",23,"119",0,"0.95835005400"
"001418","2946","0601",23,"119",0,"0.96024559600"
"001418","2946","0601",23,"119",0,"0.96224708900"
"001418","2946","0601",23,"119",0,"0.96798352400"
"001418","2946","0601",23,"119",0,"0.97008987100"
"001418","2946","0601",66,"119",0,"0.95835005400"
"001418","2946","0601",66,"119",0,"0.96024559600"
"001418","2946","0601",66,"119",0,"0.96224708900"
"001418","2946","0601",66,"119",0,"0.96798352400"
"001418","2946","0601",66,"119",0,"0.97008987100"
"001418","2946","0601",71,"119",0,"0.95835005400"
"001418","2946","0601",71,"119",0,"0.96024559600"
"001418","2946","0601",71,"119",0,"0.96224708900"
"001418","2946","0601",71,"119",0,"0.96798352400"
"001418","2946","0601",71,"119",0,"0.97008987100"
"001511","2946","0501",9,"119",0,"0.96532110100"
"001511","2946","0501",9,"119",0,"0.97184403700"
"001511","2946","0501",11,"119",0,"0.95903014400"
"001511","2946","0501",23,"119",0,"0.95835005400"
"001511","2946","0501",23,"119",0,"0.96024559600"
"001511","2946","0501",23,"119",0,"0.96224708900"
"001511","2946","0501",23,"119",0,"0.96798352400"
"001511","2946","0501",23,"119",0,"0.97008987100"
"001511","2946","0501",66,"119",0,"0.95835005400"
"001511","2946","0501",66,"119",0,"0.96024559600"
"001511","2946","0501",66,"119",0,"0.96224708900"
"001511","2946","0501",66,"119",0,"0.96798352400"
"001511","2946","0501",66,"119",0,"0.97008987100"
"001511","2946","0501",71,"119",0,"0.95835005400"
"001511","2946","0501",71,"119",0,"0.96024559600"
"001511","2946","0501",71,"119",0,"0.96224708900"
"001511","2946","0501",71,"119",0,"0.96798352400"
"001511","2946","0501",71,"119",0,"0.97008987100"
"001512","2946","0201",9,"119",0,"0.96532110100"
"001512","2946","0201",9,"119",0,"0.97184403700"
"001512","2946","0201",11,"119",0,"0.95903014400"
"001512","2946","0201",23,"119",0,"0.95835005400"
"001512","2946","0201",23,"119",0,"0.96024559600"
"001512","2946","0201",23,"119",0,"0.96224708900"
"001512","2946","0201",23,"119",0,"0.96798352400"
"001512","2946","0201",23,"119",0,"0.97008987100"
"001512","2946","0201",66,"119",0,"0.95835005400"
"001512","2946","0201",66,"119",0,"0.96024559600"
"001512","2946","0201",66,"119",0,"0.96224708900"
"001512","2946","0201",66,"119",0,"0.96798352400"
"001512","2946","0201",66,"119",0,"0.97008987100"
"001512","2946","0201",71,"119",0,"0.95835005400"
"001512","2946","0201",71,"119",0,"0.96024559600"
"001512","2946","0201",71,"119",0,"0.96224708900"
"001512","2946","0201",71,"119",0,"0.96798352400"
"001512","2946","0201",71,"119",0,"0.97008987100"
"001513","2946","0501",9,"119",0,"0.96532110100"
"001513","2946","0501",9,"119",0,"0.97184403700"
"001513","2946","0501",11,"119",0,"0.95903014400"
"001513","2946","0501",23,"119",0,"0.95835005400"
"001513","2946","0501",23,"119",0,"0.96024559600"
"001513","2946","0501",23,"119",0,"0.96224708900"
"001513","2946","0501",23,"119",0,"0.96798352400"
"001513","2946","0501",23,"119",0,"0.97008987100"
"001513","2946","0501",66,"119",0,"0.95835005400"
"001513","2946","0501",66,"119",0,"0.96024559600"
"001513","2946","0501",66,"119",0,"0.96224708900"
"001513","2946","0501",66,"119",0,"0.96798352400"
"001513","2946","0501",66,"119",0,"0.97008987100"
"001513","2946","0501",71,"119",0,"0.95835005400"
"001513","2946","0501",71,"119",0,"0.96024559600"
"001513","2946","0501",71,"119",0,"0.96224708900"
"001513","2946","0501",71,"119",0,"0.96798352400"
"001513","2946","0501",71,"119",0,"0.97008987100"
"001514","2946","0501",9,"119",0,"0.96532110100"
"001514","2946","0501",9,"119",0,"0.97184403700"
"001514","2946","0501",11,"119",0,"0.95903014400"
"001514","2946","0501",23,"119",0,"0.95835005400"
"001514","2946","0501",23,"119",0,"0.96024559600"
"001514","2946","0501",23,"119",0,"0.96224708900"
