TERDISPLAYID,TRANSACTIONDATE,PRODID,LOCDISPLAYID,SALES_TYPE,TOTALCOUNT,AMOUNT,SUB_PROD
005201001,2025-06-25,5,005201,4,0,0.0,SPORTS
005201002,2025-06-25,1,005201,4,0,0.0,HORSE RACING
005201002,2025-06-25,2,005201,4,0,0.0,4D Lottery
005201002,2025-06-25,3,005201,4,0,0.0,TOTO
005201002,2025-06-25,3,005201,4,0,0.0,TOTO MATCH
005201002,2025-06-25,4,005201,4,0,0.0,SINGAPORE SWEEP
005201002,2025-06-25,5,005201,4,0,0.0,SPORTS
005202001,2025-06-25,1,005202,4,0,0.0,HORSE RACING
005202001,2025-06-25,2,005202,4,0,0.0,4D Lottery
005202001,2025-06-25,3,005202,4,0,0.0,TOTO
005202001,2025-06-25,3,005202,4,0,0.0,TOTO MATCH
005202001,2025-06-25,4,005202,4,0,0.0,SINGAPORE SWEEP
005202001,2025-06-25,5,005202,4,0,0.0,SPORTS
005202002,2025-06-25,1,005202,4,0,0.0,HORSE RACING
005202002,2025-06-25,2,005202,4,0,0.0,4D Lottery
005202002,2025-06-25,3,005202,4,0,0.0,TOTO
005202002,2025-06-25,3,005202,4,0,0.0,TOTO MATCH
005202002,2025-06-25,4,005202,4,0,0.0,SINGAPORE SWEEP
005202002,2025-06-25,5,005202,4,0,0.0,SPORTS
005202003,2025-06-25,1,005202,4,0,0.0,HORSE RACING
005202003,2025-06-25,2,005202,4,0,0.0,4D Lottery
005202003,2025-06-25,3,005202,4,0,0.0,TOTO
005202003,2025-06-25,3,005202,4,0,0.0,TOTO MATCH
005202003,2025-06-25,4,005202,4,0,0.0,SINGAPORE SWEEP
005202003,2025-06-25,5,005202,4,0,0.0,SPORTS
005203001,2025-06-25,1,005203,4,0,0.0,HORSE RACING
005203001,2025-06-25,2,005203,4,0,0.0,4D Lottery
005203001,2025-06-25,3,005203,4,0,0.0,TOTO
005203001,2025-06-25,3,005203,4,0,0.0,TOTO MATCH
005203001,2025-06-25,4,005203,4,0,0.0,SINGAPORE SWEEP
005203001,2025-06-25,5,005203,4,0,0.0,SPORTS
005203002,2025-06-25,1,005203,4,0,0.0,HORSE RACING
005203002,2025-06-25,2,005203,4,0,0.0,4D Lottery
005203002,2025-06-25,3,005203,4,0,0.0,TOTO
005203002,2025-06-25,3,005203,4,0,0.0,TOTO MATCH
005203002,2025-06-25,4,005203,4,0,0.0,SINGAPORE SWEEP
005203002,2025-06-25,5,005203,4,0,0.0,SPORTS
005203003,2025-06-25,1,005203,4,0,0.0,HORSE RACING
005203003,2025-06-25,2,005203,4,0,0.0,4D Lottery
005203003,2025-06-25,3,005203,4,0,0.0,TOTO
005203003,2025-06-25,3,005203,4,0,0.0,TOTO MATCH
005203003,2025-06-25,4,005203,4,0,0.0,SINGAPORE SWEEP
005203003,2025-06-25,5,005203,4,0,0.0,SPORTS
005203004,2025-06-25,1,005203,4,0,0.0,HORSE RACING
005203004,2025-06-25,2,005203,4,0,0.0,4D Lottery
005203004,2025-06-25,3,005203,4,0,0.0,TOTO
005203004,2025-06-25,3,005203,4,0,0.0,TOTO MATCH
005203004,2025-06-25,4,005203,4,0,0.0,SINGAPORE SWEEP
005203004,2025-06-25,5,005203,4,0,0.0,SPORTS
005204001,2025-06-25,1,005204,4,0,0.0,HORSE RACING
005204001,2025-06-25,2,005204,4,0,0.0,4D Lottery
005204001,2025-06-25,3,005204,4,0,0.0,TOTO
005204001,2025-06-25,3,005204,4,0,0.0,TOTO MATCH
005204001,2025-06-25,4,005204,4,0,0.0,SINGAPORE SWEEP
005204001,2025-06-25,5,005204,4,0,0.0,SPORTS
005204002,2025-06-25,1,005204,4,0,0.0,HORSE RACING
005204002,2025-06-25,2,005204,4,0,0.0,4D Lottery
005204002,2025-06-25,3,005204,4,0,0.0,TOTO
005204002,2025-06-25,3,005204,4,0,0.0,TOTO MATCH
005204002,2025-06-25,4,005204,4,0,0.0,SINGAPORE SWEEP
005204002,2025-06-25,5,005204,4,0,0.0,SPORTS
005206001,2025-06-25,1,005206,4,0,0.0,HORSE RACING
005206001,2025-06-25,2,005206,4,0,0.0,4D Lottery
005206001,2025-06-25,3,005206,4,0,0.0,TOTO
005206001,2025-06-25,3,005206,4,0,0.0,TOTO MATCH
005206001,2025-06-25,4,005206,4,0,0.0,SINGAPORE SWEEP
005206001,2025-06-25,5,005206,4,0,0.0,SPORTS
005206002,2025-06-25,1,005206,4,0,0.0,HORSE RACING
005206002,2025-06-25,2,005206,4,0,0.0,4D Lottery
005206002,2025-06-25,3,005206,4,0,0.0,TOTO
005206002,2025-06-25,3,005206,4,0,0.0,TOTO MATCH
005206002,2025-06-25,4,005206,4,0,0.0,SINGAPORE SWEEP
005206002,2025-06-25,5,005206,4,0,0.0,SPORTS
005206003,2025-06-25,1,005206,4,0,0.0,HORSE RACING
005206003,2025-06-25,2,005206,4,0,0.0,4D Lottery
005206003,2025-06-25,3,005206,4,0,0.0,TOTO
005206003,2025-06-25,3,005206,4,0,0.0,TOTO MATCH
005206003,2025-06-25,4,005206,4,0,0.0,SINGAPORE SWEEP
005206003,2025-06-25,5,005206,4,0,0.0,SPORTS
005206004,2025-06-25,1,005206,4,0,0.0,HORSE RACING
005206004,2025-06-25,2,005206,4,0,0.0,4D Lottery
005206004,2025-06-25,3,005206,4,0,0.0,TOTO
005206004,2025-06-25,3,005206,4,0,0.0,TOTO MATCH
005206004,2025-06-25,4,005206,4,0,0.0,SINGAPORE SWEEP
005206004,2025-06-25,5,005206,4,0,0.0,SPORTS
005208001,2025-06-25,1,005208,4,0,0.0,HORSE RACING
005208001,2025-06-25,2,005208,4,0,0.0,4D Lottery
005208001,2025-06-25,3,005208,4,0,0.0,TOTO
005208001,2025-06-25,3,005208,4,0,0.0,TOTO MATCH
005208001,2025-06-25,4,005208,4,0,0.0,SINGAPORE SWEEP
