LOCID,LOCDISPLAYID,LOCNAME,LOCTYPE,ISIBG,ISGST,PRODUCTNAME,AMOUNT,FLAG,TYPE,ISHQ
68,186503,SPPL - BUKIT BATOK CENTRAL,1,False,False,Funding and Recovery,0.0,REC,CH,False
68,186503,SPPL - BUKIT BATOK CENTRAL,1,False,False,Online Adjustment,-0.0,FUN,CH,False
68,186503,SPPL - BUKIT BATOK CENTRAL,1,False,False,Online Adjustment,0.0,REC,CH,False
69,193101,SPPL - TOA PAYOH LOR 1,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
69,193101,SPPL - TOA PAYOH LOR 1,1,False,False,Funding and Recovery,0.0,REC,CH,False
69,193101,SPPL - TOA PAYOH LOR 1,1,False,False,Online Adjustment,-0.0,FUN,CH,False
69,193101,SPPL - TOA PAYOH LOR 1,1,False,False,Online Adjustment,0.0,REC,CH,False
70,193102,SPPL - TOA PAYOH LOR 8,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
70,193102,SPPL - TOA PAYOH LOR 8,1,False,False,Funding and Recovery,0.0,REC,CH,False
70,193102,SPPL - TOA PAYOH LOR 8,1,False,False,Online Adjustment,-0.0,FUN,CH,False
70,193102,SPPL - TOA PAYOH LOR 8,1,False,False,Online Adjustment,0.0,REC,CH,False
71,193103,SPPL - TOA PAYOH LOR 4,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
71,193103,SPPL - TOA PAYOH LOR 4,1,False,False,Funding and Recovery,0.0,REC,CH,False
71,193103,SPPL - TOA PAYOH LOR 4,1,False,False,Online Adjustment,-0.0,FUN,CH,False
71,193103,SPPL - TOA PAYOH LOR 4,1,False,False,Online Adjustment,0.0,REC,CH,False
72,193201,SPPL - BALESTIER ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
72,193201,SPPL - BALESTIER ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
72,193201,SPPL - BALESTIER ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
72,193201,SPPL - BALESTIER ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
73,193202,SPPL - WHAMPOA DRIVE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
73,193202,SPPL - WHAMPOA DRIVE,1,False,False,Funding and Recovery,0.0,REC,CH,False
73,193202,SPPL - WHAMPOA DRIVE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
73,193202,SPPL - WHAMPOA DRIVE,1,False,False,Online Adjustment,0.0,REC,CH,False
74,193501,SPPL - POTONG PASIR,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
74,193501,SPPL - POTONG PASIR,1,False,False,Funding and Recovery,0.0,REC,CH,False
74,193501,SPPL - POTONG PASIR,1,False,False,Online Adjustment,-0.0,FUN,CH,False
74,193501,SPPL - POTONG PASIR,1,False,False,Online Adjustment,0.0,REC,CH,False
75,193701,SPPL - 64 CIRCUIT RD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
75,193701,SPPL - 64 CIRCUIT RD,1,False,False,Funding and Recovery,0.0,REC,CH,False
75,193701,SPPL - 64 CIRCUIT RD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
75,193701,SPPL - 64 CIRCUIT RD,1,False,False,Online Adjustment,0.0,REC,CH,False
76,193702,SPPL - 88 CIRCUIT ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
76,193702,SPPL - 88 CIRCUIT ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
76,193702,SPPL - 88 CIRCUIT ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
76,193702,SPPL - 88 CIRCUIT ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
77,195501,SPPL - SERANGOON CENTRAL,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
77,195501,SPPL - SERANGOON CENTRAL,1,False,False,Funding and Recovery,0.0,REC,CH,False
77,195501,SPPL - SERANGOON CENTRAL,1,False,False,Online Adjustment,-0.0,FUN,CH,False
77,195501,SPPL - SERANGOON CENTRAL,1,False,False,Online Adjustment,0.0,REC,CH,False
78,195601,SPPL - ANG MO KIO N2,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
78,195601,SPPL - ANG MO KIO N2,1,False,False,Funding and Recovery,0.0,REC,CH,False
78,195601,SPPL - ANG MO KIO N2,1,False,False,Online Adjustment,-0.0,FUN,CH,False
78,195601,SPPL - ANG MO KIO N2,1,False,False,Online Adjustment,0.0,REC,CH,False
79,195602,SPPL - ANG MO KIO N4,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
79,195602,SPPL - ANG MO KIO N4,1,False,False,Funding and Recovery,0.0,REC,CH,False
79,195602,SPPL - ANG MO KIO N4,1,False,False,Online Adjustment,-0.0,FUN,CH,False
79,195602,SPPL - ANG MO KIO N4,1,False,False,Online Adjustment,0.0,REC,CH,False
80,195603,SPPL - ANG MO KIO N6,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
